algorithm_id,algorithm_label,runs,route_valid_rate,total_km_mean,total_km_median,total_km_min,total_km_max,total_km_stddev,eta_mean_min,eta_median_min,eta_min_min,eta_max_min,eta_stddev_min
greedy_nearest,Greedy Nearest Stop,1,1,12.44,12.44,12.44,12.44,0,30,30,30,30,0
paired_order_greedy,Greedy Paired Orders,1,1,12.44,12.44,12.44,12.44,0,30,30,30,30,0
