batch_index,batch_seed,algorithm_id,algorithm_label,driver_id,order_count,stop_count,total_km,eta_minutes,route_valid
1,20260305,greedy_nearest,Greedy Nearest Stop,driver_1,6,12,49.86,120,true
1,20260305,paired_order_greedy,Greedy Paired Orders,driver_1,6,12,67.73,163,true
1,20260305,farthest_order_first,Farthest Order First,driver_1,6,12,76.96,185,true
1,20260305,pickup_sweep_then_dropoff,Pickup Sweep Then Dropoff Sweep,driver_1,6,12,49.96,120,true
1,20260305,north_south_sweep,North-South Sweep,driver_1,6,12,71.06,171,true
1,20260305,longitude_bounce,East-West Bounce,driver_1,6,12,71.92,173,true
2,20260306,greedy_nearest,Greedy Nearest Stop,driver_2,6,12,40.7,98,true
2,20260306,paired_order_greedy,Greedy Paired Orders,driver_2,6,12,79.82,192,true
2,20260306,farthest_order_first,Farthest Order First,driver_2,6,12,82.2,197,true
2,20260306,pickup_sweep_then_dropoff,Pickup Sweep Then Dropoff Sweep,driver_2,6,12,43.03,103,true
2,20260306,north_south_sweep,North-South Sweep,driver_2,6,12,78.61,189,true
2,20260306,longitude_bounce,East-West Bounce,driver_2,6,12,77.5,186,true
3,20260307,greedy_nearest,Greedy Nearest Stop,driver_3,6,12,40.81,98,true
3,20260307,paired_order_greedy,Greedy Paired Orders,driver_3,6,12,57.4,138,true
3,20260307,farthest_order_first,Farthest Order First,driver_3,6,12,73.33,176,true
3,20260307,pickup_sweep_then_dropoff,Pickup Sweep Then Dropoff Sweep,driver_3,6,12,40.83,98,true
3,20260307,north_south_sweep,North-South Sweep,driver_3,6,12,73.8,177,true
3,20260307,longitude_bounce,East-West Bounce,driver_3,6,12,75.63,182,true
4,20260308,greedy_nearest,Greedy Nearest Stop,driver_4,6,12,43.88,105,true
4,20260308,paired_order_greedy,Greedy Paired Orders,driver_4,6,12,53.52,128,true
4,20260308,farthest_order_first,Farthest Order First,driver_4,6,12,75.72,182,true
4,20260308,pickup_sweep_then_dropoff,Pickup Sweep Then Dropoff Sweep,driver_4,6,12,48.54,116,true
4,20260308,north_south_sweep,North-South Sweep,driver_4,6,12,54.53,131,true
4,20260308,longitude_bounce,East-West Bounce,driver_4,6,12,71.51,172,true
5,20260309,greedy_nearest,Greedy Nearest Stop,driver_5,6,12,61.49,148,true
