algorithm_id,algorithm_label,runs,route_valid_rate,total_km_mean,total_km_median,total_km_min,total_km_max,total_km_stddev,eta_mean_min,eta_median_min,eta_min_min,eta_max_min,eta_stddev_min
greedy_nearest,Greedy Nearest Stop,3,1,37.513,37.31,37.15,38.08,0.406,90,90,89,91,0.816
paired_order_greedy,Greedy Paired Orders,3,1,48.817,43.25,41.22,61.98,9.345,117.333,104,99,149,22.485
