algorithm_id,algorithm_label,runs,route_valid_rate,total_km_mean,total_km_median,total_km_min,total_km_max,total_km_stddev,eta_mean_min,eta_median_min,eta_min_min,eta_max_min,eta_stddev_min
greedy_nearest,Greedy Nearest Stop,100,1,52.436,52.94,36.09,68.96,6.872,125.85,127,87,166,16.471
paired_order_greedy,Greedy Paired Orders,100,1,86.132,85.26,62.56,113.46,11.081,206.69,204.5,150,272,26.566
