batch_index,batch_seed,algorithm_id,algorithm_label,driver_id,order_count,stop_count,total_km,eta_minutes,route_valid,default_algorithm_id
27,68,greedy_nearest,Greedy Nearest Stop,driver_27,8,16,62.86,151,TRUE,greedy_nearest
27,68,paired_order_greedy,Greedy Paired Orders,driver_27,8,16,103.91,249,TRUE,greedy_nearest
28,69,greedy_nearest,Greedy Nearest Stop,driver_28,8,16,54.29,130,TRUE,greedy_nearest
28,69,paired_order_greedy,Greedy Paired Orders,driver_28,8,16,81.76,196,TRUE,greedy_nearest
29,70,greedy_nearest,Greedy Nearest Stop,driver_29,8,16,52.48,126,TRUE,greedy_nearest
29,70,paired_order_greedy,Greedy Paired Orders,driver_29,8,16,91.99,221,TRUE,greedy_nearest
30,71,greedy_nearest,Greedy Nearest Stop,driver_30,8,16,52.38,126,TRUE,greedy_nearest
30,71,paired_order_greedy,Greedy Paired Orders,driver_30,8,16,75.05,180,TRUE,greedy_nearest
31,72,greedy_nearest,Greedy Nearest Stop,driver_31,8,16,54.29,130,TRUE,greedy_nearest
31,72,paired_order_greedy,Greedy Paired Orders,driver_31,8,16,83.4,200,TRUE,greedy_nearest
32,73,greedy_nearest,Greedy Nearest Stop,driver_32,8,16,54,130,TRUE,greedy_nearest
32,73,paired_order_greedy,Greedy Paired Orders,driver_32,8,16,100.2,240,TRUE,greedy_nearest
33,74,greedy_nearest,Greedy Nearest Stop,driver_33,8,16,46.58,112,TRUE,greedy_nearest
33,74,paired_order_greedy,Greedy Paired Orders,driver_33,8,16,73.24,176,TRUE,greedy_nearest
34,75,greedy_nearest,Greedy Nearest Stop,driver_34,8,16,51.28,123,TRUE,greedy_nearest
34,75,paired_order_greedy,Greedy Paired Orders,driver_34,8,16,76.38,183,TRUE,greedy_nearest
35,76,greedy_nearest,Greedy Nearest Stop,driver_35,8,16,49.31,118,TRUE,greedy_nearest
35,76,paired_order_greedy,Greedy Paired Orders,driver_35,8,16,88.1,211,TRUE,greedy_nearest
36,77,greedy_nearest,Greedy Nearest Stop,driver_36,8,16,45.46,109,TRUE,greedy_nearest
36,77,paired_order_greedy,Greedy Paired Orders,driver_36,8,16,80.71,194,TRUE,greedy_nearest
37,78,greedy_nearest,Greedy Nearest Stop,driver_37,8,16,53.66,129,TRUE,greedy_nearest
