algorithm_id,algorithm_label,runs,route_valid_rate,total_km_mean,total_km_median,total_km_min,total_km_max,total_km_stddev,eta_mean_min,eta_median_min,eta_min_min,eta_max_min,eta_stddev_min
greedy_nearest,Greedy Nearest Stop,2,1,21.86,21.86,20.79,22.93,1.07,52.5,52.5,50,55,2.5
paired_order_greedy,Greedy Paired Orders,2,1,20.95,20.95,20.64,21.26,0.31,50.5,50.5,50,51,0.5
