algorithm_id,algorithm_label,runs,route_valid_rate,total_km_mean,total_km_median,total_km_min,total_km_max,total_km_stddev,eta_mean_min,eta_median_min,eta_min_min,eta_max_min,eta_stddev_min
greedy_nearest,Greedy Nearest Stop,3,1,25.877,26.89,21.35,29.39,3.36,62.333,65,51,71,8.38
paired_order_greedy,Greedy Paired Orders,3,1,35.05,30.43,25.66,49.06,10.096,84.333,73,62,118,24.226
